utc_timestamp,actual_mw,forecast_mw,baseline_previous_week_mw,error_mw,absolute_error_mw,absolute_percentage_error_pct
2020-01-07 05:00:00+00:00,60420.0000000000,55633.0901934777,41596.0000000000,-4786.9098065223,4786.9098065223,7.9227239433
2020-01-07 06:00:00+00:00,66527.0000000000,61325.2992029565,44124.0000000000,-5201.7007970435,5201.7007970435,7.8189318578
2020-01-07 07:00:00+00:00,69198.0000000000,62742.7063190191,46802.0000000000,-6455.2936809809,6455.2936809809,9.3287286930
2020-01-07 08:00:00+00:00,69408.0000000000,64137.2284192962,49456.0000000000,-5270.7715807038,5270.7715807038,7.5938963530
2020-01-07 09:00:00+00:00,69896.0000000000,64835.1745489056,50937.0000000000,-5060.8254510944,5060.8254510944,7.2405079705
2020-01-07 10:00:00+00:00,70089.0000000000,65490.2118929214,52026.0000000000,-4598.7881070786,4598.7881070786,6.5613550016
2020-01-07 11:00:00+00:00,69367.0000000000,65460.6398134537,52394.0000000000,-3906.3601865463,3906.3601865463,5.6314388492
2020-01-07 12:00:00+00:00,69465.0000000000,64644.3049992766,50637.0000000000,-4820.6950007234,4820.6950007234,6.9397466360
2020-01-07 13:00:00+00:00,68854.0000000000,64073.2042102059,49459.0000000000,-4780.7957897941,4780.7957897941,6.9433813428
2020-01-07 14:00:00+00:00,68089.0000000000,63683.7969870230,49378.0000000000,-4405.2030129770,4405.2030129770,6.4697719352
2020-01-07 15:00:00+00:00,68574.0000000000,64186.7416140476,51219.0000000000,-4387.2583859524,4387.2583859524,6.3978452270
2020-01-07 16:00:00+00:00,70914.0000000000,66718.7206238745,53428.0000000000,-4195.2793761255,4195.2793761255,5.9160100631
2020-01-07 17:00:00+00:00,70678.0000000000,66686.3864494184,52637.0000000000,-3991.6135505816,3991.6135505816,5.6476039936
2020-01-07 18:00:00+00:00,68990.0000000000,65469.5828928814,50151.0000000000,-3520.4171071186,3520.4171071186,5.1027933137
2020-01-07 19:00:00+00:00,65235.0000000000,62229.0235893549,47493.0000000000,-3005.9764106451,3005.9764106451,4.6079196913
2020-01-07 20:00:00+00:00,61997.0000000000,59602.2676255414,45842.0000000000,-2394.7323744586,2394.7323744586,3.8626584745
2020-01-07 21:00:00+00:00,59030.0000000000,58322.2774913015,45501.0000000000,-707.7225086985,707.7225086985,1.1989200554
2020-01-07 22:00:00+00:00,55343.0000000000,54137.9776806599,43969.0000000000,-1205.0223193401,1205.0223193401,2.1773707955
2020-01-07 23:00:00+00:00,52694.0000000000,52044.2511564771,42335.0000000000,-649.7488435229,649.7488435229,1.2330603931
