utc_timestamp,actual_mw,forecast_mw,previous_week_mw,previous_52_weeks_mw,previous_365_days_mw,error_mw,absolute_error_mw,absolute_percentage_error
2020-01-03 09:00:00+00:00,61751.0000000000,68270.9828060011,54000.0000000000,68173.0000000000,66379.0000000000,6519.9828060011,6519.9828060011,10.5585056210
2020-01-03 10:00:00+00:00,63204.0000000000,69350.4920056281,54759.0000000000,68997.0000000000,67625.0000000000,6146.4920056281,6146.4920056281,9.7248465376
2020-01-03 11:00:00+00:00,63230.0000000000,68832.7576931743,55273.0000000000,69469.0000000000,67794.0000000000,5602.7576931743,5602.7576931743,8.8609168008
2020-01-03 12:00:00+00:00,61575.0000000000,67344.3704185389,54667.0000000000,68587.0000000000,66551.0000000000,5769.3704185389,5769.3704185389,9.3696636923
2020-01-03 13:00:00+00:00,60449.0000000000,66024.2997758589,53887.0000000000,67122.0000000000,65506.0000000000,5575.2997758589,5575.2997758589,9.2231464141
2020-01-03 14:00:00+00:00,59983.0000000000,65586.0271656764,53753.0000000000,66818.0000000000,64853.0000000000,5603.0271656764,5603.0271656764,9.3410252333
2020-01-03 15:00:00+00:00,60757.0000000000,65892.6711270108,55131.0000000000,68104.0000000000,65985.0000000000,5135.6711270108,5135.6711270108,8.4528056471
2020-01-03 16:00:00+00:00,62491.0000000000,68439.1912688610,57337.0000000000,69801.0000000000,69210.0000000000,5948.1912688610,5948.1912688610,9.5184766908
2020-01-03 17:00:00+00:00,62157.0000000000,68410.5915869450,56762.0000000000,69105.0000000000,69159.0000000000,6253.5915869450,6253.5915869450,10.0609610936
2020-01-03 18:00:00+00:00,60931.0000000000,67643.4611033762,55187.0000000000,66614.0000000000,67078.0000000000,6712.4611033762,6712.4611033762,11.0164958779
2020-01-03 19:00:00+00:00,56910.0000000000,63404.4116780408,51828.0000000000,62098.0000000000,63478.0000000000,6494.4116780408,6494.4116780408,11.4117232086
2020-01-03 20:00:00+00:00,53806.0000000000,60626.9820547435,49501.0000000000,59305.0000000000,60663.0000000000,6820.9820547435,6820.9820547435,12.6769915153
2020-01-03 21:00:00+00:00,52540.0000000000,58955.3335810094,48037.0000000000,57794.0000000000,58350.0000000000,6415.3335810094,6415.3335810094,12.2103798649
2020-01-03 22:00:00+00:00,49359.0000000000,55425.5552489384,45266.0000000000,53664.0000000000,55087.0000000000,6066.5552489384,6066.5552489384,12.2906769767
2020-01-03 23:00:00+00:00,46773.0000000000,50099.2097378230,42462.0000000000,50780.0000000000,51718.0000000000,3326.2097378230,3326.2097378230,7.1113884887
2020-01-04 00:00:00+00:00,45003.0000000000,47961.0734662896,40814.0000000000,48786.0000000000,49157.0000000000,2958.0734662896,2958.0734662896,6.5730583879
2020-01-04 01:00:00+00:00,44345.0000000000,46518.4264152169,40342.0000000000,47649.0000000000,48594.0000000000,2173.4264152169,2173.4264152169,4.9011758151
2020-01-04 02:00:00+00:00,43801.0000000000,46465.6141613863,40202.0000000000,47137.0000000000,48643.0000000000,2664.6141613863,2664.6141613863,6.0834550841
2020-01-04 03:00:00+00:00,44501.0000000000,45946.3796418525,40883.0000000000,47921.0000000000,49409.0000000000,1445.3796418525,1445.3796418525,3.2479711509
2020-01-04 04:00:00+00:00,45049.0000000000,45975.9814118082,41089.0000000000,47767.0000000000,51452.0000000000,926.9814118082,926.9814118082,2.0577180666
2020-01-04 05:00:00+00:00,46138.0000000000,46903.6814369676,41373.0000000000,48420.0000000000,56643.0000000000,765.6814369676,765.6814369676,1.6595462243
2020-01-04 06:00:00+00:00,48876.0000000000,48598.9969247800,43751.0000000000,50161.0000000000,62401.0000000000,-277.0030752200,277.0030752200,0.5667466143
2020-01-04 07:00:00+00:00,51876.0000000000,53071.4603584823,46965.0000000000,53621.0000000000,65584.0000000000,1195.4603584823,1195.4603584823,2.3044574726
2020-01-04 08:00:00+00:00,55337.0000000000,56697.8116675839,50213.0000000000,56533.0000000000,67404.0000000000,1360.8116675839,1360.8116675839,2.4591352397
2020-01-04 09:00:00+00:00,57584.0000000000,58165.4259031658,50682.0000000000,59117.0000000000,68173.0000000000,581.4259031658,581.4259031658,1.0097004431
2020-01-04 10:00:00+00:00,59443.0000000000,58896.9691808476,51465.0000000000,60729.0000000000,68997.0000000000,-546.0308191524,546.0308191524,0.9185788388
2020-01-04 11:00:00+00:00,59873.0000000000,58666.0412655729,51386.0000000000,60826.0000000000,69469.0000000000,-1206.9587344271,1206.9587344271,2.0158648045
2020-01-04 12:00:00+00:00,58499.0000000000,57348.8387340243,50320.0000000000,59456.0000000000,68587.0000000000,-1150.1612659757,1150.1612659757,1.9661212431
2020-01-04 13:00:00+00:00,57624.0000000000,56548.9670606263,49026.0000000000,58131.0000000000,67122.0000000000,-1075.0329393737,1075.0329393737,1.8655992978
2020-01-04 14:00:00+00:00,56651.0000000000,56246.9773372099,49858.0000000000,57920.0000000000,66818.0000000000,-404.0226627901,404.0226627901,0.7131783425
2020-01-04 15:00:00+00:00,58144.0000000000,56959.3620813919,52455.0000000000,58847.0000000000,68104.0000000000,-1184.6379186081,1184.6379186081,2.0374207461
2020-01-04 16:00:00+00:00,60436.0000000000,59690.0398539348,55652.0000000000,61595.0000000000,69801.0000000000,-745.9601460652,745.9601460652,1.2342976803
2020-01-04 17:00:00+00:00,59971.0000000000,60036.1829076247,55695.0000000000,61433.0000000000,69105.0000000000,65.1829076247,65.1829076247,0.1086907132
2020-01-04 18:00:00+00:00,58093.0000000000,58773.5863597242,54137.0000000000,59791.0000000000,66614.0000000000,680.5863597242,680.5863597242,1.1715462443
2020-01-04 19:00:00+00:00,54603.0000000000,55796.9923834311,51244.0000000000,56066.0000000000,62098.0000000000,1193.9923834311,1193.9923834311,2.1866790899
2020-01-04 20:00:00+00:00,52028.0000000000,52441.1652033466,49084.0000000000,53525.0000000000,59305.0000000000,413.1652033466,413.1652033466,0.7941208644
2020-01-04 21:00:00+00:00,50722.0000000000,51308.4877933938,47918.0000000000,52340.0000000000,57794.0000000000,586.4877933938,586.4877933938,1.1562789192
2020-01-04 22:00:00+00:00,47994.0000000000,48786.4257210282,44642.0000000000,48703.0000000000,53664.0000000000,792.4257210282,792.4257210282,1.6510933055
2020-01-04 23:00:00+00:00,44880.0000000000,46001.4122954812,42135.0000000000,45590.0000000000,50780.0000000000,1121.4122954812,1121.4122954812,2.4986904980
2020-01-05 00:00:00+00:00,42638.0000000000,43546.5682449535,40202.0000000000,43535.0000000000,48786.0000000000,908.5682449535,908.5682449535,2.1308885148
2020-01-05 01:00:00+00:00,41865.0000000000,41928.1317611904,40075.0000000000,42181.0000000000,47649.0000000000,63.1317611904,63.1317611904,0.1507984263
2020-01-05 02:00:00+00:00,40752.0000000000,41730.7935385849,39498.0000000000,41981.0000000000,47137.0000000000,978.7935385849,978.7935385849,2.4018294528
2020-01-05 03:00:00+00:00,40754.0000000000,41393.6044605676,39325.0000000000,41903.0000000000,47921.0000000000,639.6044605676,639.6044605676,1.5694274441
2020-01-05 04:00:00+00:00,40409.0000000000,41455.9278296756,39090.0000000000,41300.0000000000,47767.0000000000,1046.9278296756,1046.9278296756,2.5908283543
2020-01-05 05:00:00+00:00,39751.0000000000,39951.4995784224,38272.0000000000,40917.0000000000,48420.0000000000,200.4995784224,200.4995784224,0.5043887661
2020-01-05 06:00:00+00:00,41953.0000000000,42075.4696903784,39156.0000000000,42040.0000000000,50161.0000000000,122.4696903784,122.4696903784,0.2919211746
2020-01-05 07:00:00+00:00,43752.0000000000,45426.2240744595,41759.0000000000,44988.0000000000,53621.0000000000,1674.2240744595,1674.2240744595,3.8266229531
2020-01-05 08:00:00+00:00,47044.0000000000,49291.1706433079,44765.0000000000,48812.0000000000,56533.0000000000,2247.1706433079,2247.1706433079,4.7767422909
2020-01-05 09:00:00+00:00,50397.0000000000,51920.6096666151,46032.0000000000,51933.0000000000,59117.0000000000,1523.6096666151,1523.6096666151,3.0232150061
2020-01-05 10:00:00+00:00,52744.0000000000,53531.0861102684,48260.0000000000,54497.0000000000,60729.0000000000,787.0861102684,787.0861102684,1.4922761077
2020-01-05 11:00:00+00:00,52825.0000000000,53369.6094456656,49349.0000000000,55033.0000000000,60826.0000000000,544.6094456656,544.6094456656,1.0309691352
2020-01-05 12:00:00+00:00,51568.0000000000,52395.4031020243,47541.0000000000,53673.0000000000,59456.0000000000,827.4031020243,827.4031020243,1.6044894160
2020-01-05 13:00:00+00:00,50470.0000000000,51177.6353473906,46312.0000000000,53219.0000000000,58131.0000000000,707.6353473906,707.6353473906,1.4020910390
2020-01-05 14:00:00+00:00,50177.0000000000,50855.7752878034,46671.0000000000,52240.0000000000,57920.0000000000,678.7752878034,678.7752878034,1.3527617988
2020-01-05 15:00:00+00:00,51651.0000000000,51438.5737685396,49244.0000000000,53738.0000000000,58847.0000000000,-212.4262314604,212.4262314604,0.4112722531
2020-01-05 16:00:00+00:00,55601.0000000000,55621.3386062801,52332.0000000000,57201.0000000000,61595.0000000000,20.3386062801,20.3386062801,0.0365795692
2020-01-05 17:00:00+00:00,56412.0000000000,56616.4896663729,52958.0000000000,58107.0000000000,61433.0000000000,204.4896663729,204.4896663729,0.3624932042
2020-01-05 18:00:00+00:00,54808.0000000000,55544.5435944351,51943.0000000000,56663.0000000000,59791.0000000000,736.5435944351,736.5435944351,1.3438614699
2020-01-05 19:00:00+00:00,52478.0000000000,54253.3597240450,49806.0000000000,54371.0000000000,56066.0000000000,1775.3597240450,1775.3597240450,3.3830552308
2020-01-05 20:00:00+00:00,50972.0000000000,52343.0293670667,48362.0000000000,52443.0000000000,53525.0000000000,1371.0293670667,1371.0293670667,2.6897696129
2020-01-05 21:00:00+00:00,50438.0000000000,51936.5940676688,47950.0000000000,52249.0000000000,52340.0000000000,1498.5940676688,1498.5940676688,2.9711607670
2020-01-05 22:00:00+00:00,47398.0000000000,49426.1368842494,45146.0000000000,49497.0000000000,48703.0000000000,2028.1368842494,2028.1368842494,4.2789503444
2020-01-05 23:00:00+00:00,45225.0000000000,47214.4726308562,43026.0000000000,46260.0000000000,45590.0000000000,1989.4726308562,1989.4726308562,4.3990550157
