ds,trend
2016-08-10,55556.94391445939
2016-08-11,55558.09660666246
2016-08-12,55559.24929886552
2016-08-13,55560.40199106858
2016-08-14,55561.55468327165
2016-08-15,55562.70737547471
2016-08-16,55563.86006767777
2016-08-17,55565.01275988084
2016-08-18,55566.1654520839
2016-08-19,55567.31814428696
2016-08-20,55568.47083649002
2016-08-21,55569.62352869309
2016-08-22,55570.77622089615
2016-08-23,55571.92891309921
2016-08-24,55573.08160530228
2016-08-25,55574.23429750533
2016-08-26,55575.38698970839
2016-08-27,55576.53968191146
2016-08-28,55577.69237411452
2016-08-29,55578.84506631758
2016-08-30,55579.99775852064
2016-08-31,55581.15045072371
2016-09-01,55582.30314292677
2016-09-02,55583.45583512983
2016-09-03,55584.6085273329
2016-09-04,55585.76121953596
2016-09-05,55586.91391173902
2016-09-06,55588.06660394209
2016-09-07,55589.21929614515
2016-09-08,55590.37198834821
2016-09-09,55591.52468055128
2016-09-10,55592.67737275433
2016-09-11,55593.830064957394
2016-09-12,55594.982757160455
2016-09-13,55596.13544936352
2016-09-14,55597.28814156658
2016-09-15,55598.440833769644
2016-09-16,55599.59352597271
2016-09-17,55600.74621817577
2016-09-18,55601.89891037883
2016-09-19,55603.0516025819
2016-09-20,55604.20429478496
2016-09-21,55605.35698698802
2016-09-22,55606.50967919109
2016-09-23,55607.66237139415
2016-09-24,55608.81506359721
2016-09-25,55609.96775580027
2016-09-26,55611.120448003334
2016-09-27,55612.273140206395
2016-09-28,55613.425832409455
2016-09-29,55614.57852461252
2016-09-30,55615.731216815584
2016-10-01,55616.883909018645
2016-10-02,55618.036601221705
2016-10-03,55619.18929342477
2016-10-04,55620.341985627834
2016-10-05,55625.16006611499
2016-10-06,55640.97431145447
2016-10-07,55656.78855679394
2016-10-08,55672.60280213341
2016-10-09,55688.41704747289
2016-10-10,55704.231292812365
2016-10-11,55720.04553815184
2016-10-12,55735.859783491316
2016-10-13,55751.674028830785
2016-10-14,55767.48827417025
2016-10-15,55783.30251950973
2016-10-16,55799.11676484921
2016-10-17,55814.93101018868
2016-10-18,55830.74525552816
2016-10-19,55846.55950086763
2016-10-20,55862.3737462071
2016-10-21,55878.187991546576
2016-10-22,55894.002236886045
2016-10-23,55909.81648222553
2016-10-24,55925.630727564996
2016-10-25,55941.44497290448
2016-10-26,55957.25921824395
2016-10-27,55973.07346358342
2016-10-28,55988.88770892289
2016-10-29,56004.70195426237
2016-10-30,56020.51619960184
2016-10-31,56036.33044494132
2016-11-01,56052.144690280795
2016-11-02,56067.95893562027
2016-11-03,56083.77318095974
2016-11-04,56099.58742629921
2016-11-05,56115.40167163869
2016-11-06,56131.21591697816
2016-11-07,56147.030162317635
2016-11-08,56162.84440765711
2016-11-09,56178.658652996586
2016-11-10,56194.472898336055
2016-11-11,56210.28714367553
2016-11-12,56226.101389015
2016-11-13,56241.91563435448
2016-11-14,56257.72987969395
2016-11-15,56273.54412503343
2016-11-16,56289.3583703729
2016-11-17,56305.17261571238
2016-11-18,56320.986861051846
2016-11-19,56336.801106391315
2016-11-20,56352.6153517308
2016-11-21,56368.429597070266
2016-11-22,56384.24384240975
2016-11-23,56400.05808774922
2016-11-24,56415.87233308869
2016-11-25,56431.68657842816
2016-11-26,56447.50082376764
2016-11-27,56463.31506910711
2016-11-28,56479.12931444659
2016-11-29,56494.94355978606
2016-11-30,56510.75780512554
2016-12-01,56526.57205046501
2016-12-02,56542.386295804485
2016-12-03,56559.11783675377
2016-12-04,56576.032836825005
2016-12-05,56592.947836896245
2016-12-06,56609.86283696749
2016-12-07,56626.77783703873
2016-12-08,56643.69283710998
2016-12-09,56660.60783718122
2016-12-10,56677.52283725245
2016-12-11,56694.4378373237
2016-12-12,56711.35283739494
2016-12-13,56728.267837466185
2016-12-14,56745.182837537424
2016-12-15,56762.097837608664
2016-12-16,56779.01283767991
2016-12-17,56795.927837751144
2016-12-18,56812.84283782239
2016-12-19,56829.75783789363
2016-12-20,56846.67283796487
2016-12-21,56863.58783803612
2016-12-22,56880.50283810736
2016-12-23,56897.417838178604
2016-12-24,56914.33283824984
2016-12-25,56931.24783832108
2016-12-26,56948.16283839232
2016-12-27,56965.07783846356
2016-12-28,56981.99283853481
2016-12-29,56998.90783860604
2016-12-30,57015.82283867728
2016-12-31,57032.73783874853
2017-01-01,57049.65283881977
2017-01-02,57066.56783889102
2017-01-03,57083.482838962256
2017-01-04,57100.39783903349
2017-01-05,57117.312839104736
2017-01-06,57134.227839175976
2017-01-07,57151.14283924722
2017-01-08,57168.05783931846
2017-01-09,57184.9728393897
2017-01-10,57201.887839460935
2017-01-11,57218.80283953218
2017-01-12,57235.71783960342
2017-01-13,57252.63283967467
2017-01-14,57269.54783974591
2017-01-15,57286.462839817155
2017-01-16,57303.377839888395
2017-01-17,57320.29283995964
2017-01-18,57337.207840030875
2017-01-19,57354.122840102114
2017-01-20,57371.037840173354
2017-01-21,57387.9528402446
2017-01-22,57404.86784031584
2017-01-23,57421.78284038708
2017-01-24,57438.69784045832
2017-01-25,57455.61284052956
2017-01-26,57472.52784060081
2017-01-27,57489.44284067205
2017-01-28,57506.357840743294
2017-01-29,57523.27284081453
2017-01-30,57524.882069450425
2017-01-31,57505.0632180768
2017-02-01,57485.24436670318
2017-02-02,57465.42551532957
2017-02-03,57445.60666395595
2017-02-04,57425.787812582326
2017-02-05,57405.9689612087
2017-02-06,57386.15010983509
2017-02-07,57366.33125846147
2017-02-08,57346.51240708786
2017-02-09,57326.69355571424
2017-02-10,57306.87470434062
2017-02-11,57287.055852966994
2017-02-12,57267.237001593385
2017-02-13,57247.41815021976
2017-02-14,57227.59929884615
2017-02-15,57207.780447472534
2017-02-16,57187.96159609891
2017-02-17,57168.142744725286
2017-02-18,57148.32389335168
2017-02-19,57128.50504197806
2017-02-20,57108.686190604436
2017-02-21,57088.86733923083
2017-02-22,57069.0484878572
2017-02-23,57049.22963648358
2017-02-24,57029.41078510997
2017-02-25,57009.59193373635
2017-02-26,56989.773082362735
2017-02-27,56969.95423098912
2017-02-28,56950.135379615494
2017-03-01,56930.31652824187
2017-03-02,56910.49767686825
2017-03-03,56890.678825494644
2017-03-04,56870.85997412102
2017-03-05,56851.04112274741
2017-03-06,56831.22227137379
2017-03-07,56811.40342000016
2017-03-08,56791.584568626546
2017-03-09,56771.765717252936
2017-03-10,56751.94686587931
2017-03-11,56732.1280145057
2017-03-12,56712.30916313208
2017-03-13,56692.49031175846
2017-03-14,56672.67146038484
2017-03-15,56652.85260901123
2017-03-16,56633.033757637604
2017-03-17,56613.21490626398
2017-03-18,56593.39605489037
2017-03-19,56573.577203516754
2017-03-20,56553.75835214313
2017-03-21,56533.93950076952
2017-03-22,56514.120649395896
2017-03-23,56494.30179802229
2017-03-24,56474.48294664866
2017-03-25,56454.664095275046
2017-03-26,56434.84524390142
2017-03-27,56415.0263925278
2017-03-28,56395.20754115419
2017-03-29,56375.388689780564
2017-03-30,56372.26906052375
2017-03-31,56369.14943126694
2017-04-01,56366.029802010125
2017-04-02,56362.910172753305
2017-04-03,56359.79054349649
2017-04-04,56356.67091423968
2017-04-05,56353.55128498286
2017-04-06,56350.431655726046
2017-04-07,56347.31202646923
2017-04-08,56344.19239721241
2017-04-09,56341.0727679556
2017-04-10,56337.95313869879
2017-04-11,56334.83350944197
2017-04-12,56331.713880185154
2017-04-13,56328.59425092834
2017-04-14,56325.47462167152
